,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_G1x_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_G1x_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_G1x_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_G1x_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_G1x_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_G1x_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_G1x_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_G1x_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_G1x_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_G1x_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_G1x_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_G1x_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_G1x_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_G1x_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_G1x_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_G1x_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_G1x_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_G1x_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_G1x_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_G1x_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_G1x_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_G1x_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_G1x_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_G1x_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_G1x_anom,tsn_pic
BNU-ESM,,,,,,,,,7.1463047488964975,-1.334252223179064,-2.468293101580443,82.05651468557075,-1.6751724865030155,-1.0359970943322985,-0.9505249931983073,22.150870246713623,-0.12469636619398727,,,80.00457425075382,-74.11944401236225,,,92.36257576998526,-0.05742620708786737,-0.007478784060067162,-0.0007996921477267938,0.1811145836888367,0.1847705980107932,-0.059139156315113794,-0.0917553668962352,3.0169877316690092,-0.06304089471680914,,,0.18669947960782318,33.63620738554573,4.7767932705326075,0.9176416321552097,331.60692412947674,26.0026748343181,2.2853311460063424,-0.8862102230575033,391.66147963997685,-4.394111501423367,-6.773672435993149,-7.09187316046615,189.15375691129879,-4.994138418673387,-2.225033980758891,-1.854742543592927,24.051710133076924,,,,,2.7624270368944224,0.31307297839598847,-0.014460653788987754,0.8401063901597976,7.6335325512276455,2.4914621245262865,1.8038518552126988,-60.054555510500165,-5.471132165309172,2.3702493482838634,3.418818116683866,-104.20738493364615,8.233559242027155,-2.0571763084548422,-3.4332787061501477,105.0474913219895,0.6000269029202627,-4.54863848903085,-5.2371306532729704,165.10204676678177,-71.06651243104452,,,75.77090017677588,-0.0046943007505186735,,,0.09263038598031285,-45552.48545721248,,,48099.3567519248,5.091975151997373,0.6005979723720447,0.0,12.881521307479217,,,,,0.4022666523062225,,,-1.3415434374660484
CCSM4,0.14087663617243162,-0.1329423525243114,-0.15130398519067212,2.9286322852906648,0.0017876547034617607,0.008992181748268824,0.009475299737131598,-0.2257672743480949,4.070681184634566,-3.848320547687919,-4.379349464218677,84.80341942769651,0.12993238456866152,0.7054213142841412,0.7440121964624993,17.75922061515162,-0.8978876797208102,-0.7938675136719837,-0.7868921753728699,78.98772318856919,0.01644885560055777,0.0024115896071954107,0.0014702848312305311,0.06813419630117445,-0.00015428127310344528,-1.0429058360419963e-05,-7.826801529566951e-07,-1.2264704593985265e-05,0.14072235557362944,-0.1329527817814733,-0.15130476812817495,2.9286200196464485,-0.04371164328652877,-0.010368068029045524,-0.008132129303338204,0.2035552806774015,25.88676647107968,1.6375624233657504,0.011470020881290566,329.54726773976,19.72574115140702,0.6450289215960083,-0.6344770419744918,393.6399323036301,-2.718868798763083,-5.331510435667127,-5.5067078032930965,192.9866094512851,-3.0049931001675176,-1.241463122885282,-1.1232051094688522,25.64707656925688,,,,,2.246536015521346,0.04538565229943892,-0.10221811544973392,0.6842281651685251,6.1610253196727385,0.9925335017697918,0.6459470628558321,-64.09266456387014,-4.2006135433856855,3.142899229074672,3.6353372614055246,-102.56264005251815,6.447149564376545,-3.097513579645735,-3.7375553802850163,103.2468682085604,0.2861242784633191,-4.090047356771777,-4.383502739225634,167.33953289267166,-0.010097073134358245,-0.001444204822668979,-0.0008639646055611933,0.08646607241675322,-0.0118358883463128,-0.00191904588589982,-0.0012540466492327873,0.08231368901157907,-4.378329186127715,-1.2567291310806539,-1.0474022549028064,39.6600966212162,3.8295565280593724,0.240662470752655,0.0,13.289460826724094,,,,,,,,
CESM-CAM5.1-FV,0.16858665090037928,-0.17309183115351212,-0.16103575941475157,3.0278775015768806,,,,,4.872564084576027,-5.0069698484112735,-4.658372040537529,87.66422880718324,,0.8100388571091095,,18.120483630135556,,,,,,,,,-0.00014915589298959697,-6.676871769269177e-05,-6.967573627273993e-05,-5.7998933211761416e-05,0.16839165758451724,-0.17320443469031588,-0.16115127006200902,3.027865339900284,,,,,,-0.47060229784381136,,339.30260393660774,,-1.5260766392040068,,394.82744571598926,,-6.504179226882002,,187.257028779062,,-1.1251185161197022,,25.083315147305306,,,,,,-0.12665530771120448,,0.8641593980576268,,1.0554743413601955,,-55.524841779381504,,4.1969310076989075,,-105.78471247237485,,-4.32358637424494,,106.6488718483721,,-5.379060738867139,,162.17371366286253,,,,,,,,,,,,,4.494541471806603,-0.16438965531842875,0.0,13.424292008840368,,,,,,,,
CSIRO-Mk3L-1-2,0.13196244711120864,-0.07978359757996412,-0.08369516046490277,2.726837818193548,,,,,3.8183581015350683,-2.308553251874258,-2.4217350545580274,78.90156061413762,-1.5660953915651206,-1.115150043012747,-1.106819776012454,23.484552777994978,,,,,,,,,-0.003519522874536496,0.00048328043400046317,0.0005572238074420689,-0.0032509079431980448,0.12844293174675814,-0.07930030945649458,-0.08313792896467787,2.7235869020231624,-0.020702215225894445,-0.00331392453333558,-0.0029927124294460705,0.08136738694215762,22.005214525609347,0.6781801247806243,0.28420801385050254,339.6232776901834,17.792517409118375,-0.17280188468004098,-0.5046733785168271,397.88480460653096,-2.039324849958092,-5.194959904191904,-5.253253625685289,189.43437519254175,-2.522337065742718,-1.0611531126870943,-1.0341608119469505,28.571212040361623,,,,,2.443447263868885,0.14087898111348574,0.09834387426887559,0.2155220722348019,4.212697116490993,0.8509820094607434,0.7888813923674007,-58.26152691634761,-2.2522626690033007,3.423703485773572,3.528555024226506,-102.38611342624577,4.69570992607899,-3.2828243406794115,-3.43021098282226,102.6016355152957,0.4830121861509724,-4.133806783842772,-4.2190928053873336,160.8631631922196,-0.01701185411252104,-0.0008425438556972364,-0.0005438498519065582,0.11664965527654056,,,,,-1.7011854478736854,-0.08425441146724388,-0.05438501089007097,11.664965723526153,3.417500958215939,0.06198608088834234,0.0,14.054314237762839,3.3730078327394573,0.031949056723199476,-0.02976997809383164,15.024875847416148,,,,
CanESM2,0.15707971449617997,-0.12607928921549272,-0.13105551656158676,2.7407357602229396,,,,,4.5949097354160955,-3.640988988171358,-3.785726411000084,79.46526691991403,-2.3692376520888523,-0.36605296753332794,-0.3308490634515344,24.547468728277835,-0.34007515482338135,-0.4597241420931084,-0.4618268495987081,81.68552483799539,,,,,-6.871999963059539e-05,2.4852119845208964e-05,2.6496553303668302e-05,-0.0002442342295130573,0.15701099264275742,-0.1260544411144262,-0.1310290240651093,2.7404915271991332,-0.05094659628856407,-0.00885445327348508,-0.008114727287796053,0.17651171131248708,31.929060471631942,0.8381921466888684,0.29180221331444045,331.4034987009471,25.480191777867333,-0.03440668426725324,-0.4827994280175858,391.39315554803466,-4.906470956707409,-6.103832873248194,-6.124875273575071,191.89481700481767,-3.0943661075919096,-1.0915108096661577,-1.0563126942145438,27.571018816346033,,,,,2.4110913456694485,-0.13268141116044152,-0.1773855928705721,0.32140568684310433,6.448868693764538,0.872598830956079,0.7746016413319623,-59.989656847087474,-2.225672052840565,4.007041888804125,4.116575405839583,-104.01273560637347,4.63676337565235,-4.139723357500202,-4.29396105685521,104.33414136758253,-1.812104766899921,-5.012321985825253,-5.068562501682095,164.32379815299097,-0.0049785298373851115,-0.0007330946992626132,-0.0006584855568603949,0.023959365448004956,-0.011850021483354983,-0.0022543186312867433,-0.002085684053853079,0.04841277072625877,-1.5366315690619983,-0.2222376825106256,-0.19913856605640845,6.997742691201891,4.7636721708866006,0.08227079915763902,0.0,13.673665860334317,,,,,-7.568383446585699,-1.1992290600488218,-1.0872977429643242,-238.2619770898059
GISS-E2-R,0.046270332049273666,-0.20903055040668805,-0.18147441637484985,3.1702452571884394,,,,,1.3388408184627423,-6.048337779881436,-5.250995907754486,91.7316353051251,0.1409074131910124,-0.7089991320137514,-0.6172636924457393,-20.218874161359146,-0.5226070368121043,-1.0871373677662177,-1.026204270648961,73.71328289579932,-2.3523955605031723,0.6009901565820694,0.28221377052019925,9.50240753531526,-4.302265362375601e-05,6.946420835540756e-06,1.5529631239920733e-06,-0.0001174446583092209,0.04622730888917337,-0.20902360031241196,-0.18147286018944842,3.1701278111736557,-0.020461564961018586,-0.007124545475671873,-0.008564088860669172,0.19670264876534033,20.475354203362258,-1.391193364118294,0.968992428373042,338.1606009579205,14.587542006489116,-2.1812345408642386,-0.3712813215739743,397.40390782357116,-3.7441382572820885,-7.136581366081771,-6.770414919251749,195.52265741398156,-1.4639980837655102,-0.8454909906215775,-0.9122501188876413,23.58044992312751,,,,,2.127923767373929,1.2562872992368028,1.35036817789247,41.186139403661954,5.8878121968731065,0.7900411767459232,1.340273749946988,-59.24330686565059,-1.479748244494985,6.7573368925198025,5.868259581530111,-71.51276112400932,3.6076719826202606,-5.501049537399297,-4.517891356942769,112.69890049759721,-2.2801401605374565,-6.29109034372226,-5.858164770650916,171.94220748124667,-0.0065914348039115,0.0010423059816390134,0.00021835119453706558,0.03192889206575045,-0.006584564105130697,-0.0035548889569536474,-0.0038818997124707016,0.06787805244220858,,,,,2.7567452761413236,-0.333554309579597,0.0,14.276195600585332,2.7628417675724677,-0.31039451646296357,0.02131805005745946,-259.6779699441763,,,,
HadCM3,0.0943803374021348,-0.13071960218496947,-0.13693551304244256,2.847124532958187,,,,,,,,,,,,,,,,,,,,,0.0016044178434416606,-2.7259857483794003e-05,-7.231701367709821e-05,0.004966525598277108,0.09600243852001089,-0.13074806410587136,-0.13700955361935163,2.852211714300707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.431497357639952,0.11908303078788762,0.0,12.750927674238095,,,,,,,,
HadGEM2-ES,0.14176304994062328,-0.12480520198238931,-0.13711324591495533,3.085217816549337,,,,,4.071813425887342,-3.6146345009394736,-3.969534749135903,89.39023459370414,-0.3839731048806101,0.22434770713334373,0.25243522027622234,18.517224097897255,-0.9107107717399288,-0.8030589633636396,-0.7980884420155121,76.02028080079339,,,,,-0.0013293069173972855,-0.00012752843299207103,-7.20396706335889e-05,0.0020682698901588886,0.14043374046105184,-0.12493273216856604,-0.137185287301421,3.0872860875318024,-0.07578238357232187,-0.01070752309932782,-0.0077028733114058445,0.2269185339931311,32.666484093504266,0.9045421851265587,-0.5619767028947535,333.5187325790444,26.131383313432536,0.07600491551914956,-1.1270293531445077,395.86583565029304,-3.634914825876507,-5.490717672538295,-5.576404181723547,196.23229079182855,-2.9571736499981007,-1.402045200910635,-1.3302414916013952,24.729158705853816,,,,,2.169519127447744,0.13015147663980353,0.03598937571546901,1.248570408353437,6.535100780071687,0.8285372696073452,0.565052650249676,-62.34710307124853,-3.687840323966128,3.3902867775133956,3.717099511951318,-107.90745869617676,5.857359463763018,-3.2601353190875244,-3.6811101558609494,109.15602908309467,-0.6777411603009114,-4.0886724520309485,-4.2461626703398565,171.50313205902538,,,,,,,,,-49.51380137175602,1.7841269111213478,4.152665363845699,6617.168095558251,5.026753199832838,0.22185284350502776,0.0,13.626986655141659,,,,,,,,
IPSL-CM5A-LR,0.20727026750118283,-0.163165525544263,-0.17123195750334474,2.6557650782896682,,,,,,,,,-0.8147486069756056,-0.035948205955389056,-0.018989422375412346,24.1150516679728,,,,,,,,,-0.0003231867635681441,-4.5949418660783115e-06,2.3425606666865927e-06,0.00042806896470834986,0.20694707694968795,-0.16317012520971907,-0.1712296196866423,2.656193149657455,-0.045810180008459295,-0.005114746180509416,-0.004228581953992061,0.20192088799649058,29.55885557268772,1.7520985733387988,1.1465919847504438,320.1395958606246,23.645421977300487,0.15174459939038343,-0.3598424383510519,387.2208303160066,0.23790113049378192,-7.538748747072077,-7.708089340731419,194.80811960178042,-1.6130720208220595,-1.2248188672620586,-1.2163644530156823,26.133533774279766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.477627309969305,0.09542473900532755,0.0,12.012838237589177,,,,,,,,
MIROC-ESM,0.22850951112379736,-0.10015954530281324,-0.06946910211487722,2.819086973553822,-0.10260624934910412,-0.008224605741160046,-0.017037770273977654,0.22458268119428557,6.611964841253297,-2.8981350374321835,-2.010101392854608,81.57080369555786,-1.3990289826343592,-0.7521235837584221,-0.8125302846752263,20.707808724796045,-0.22992753107756414,-0.22516481969219626,-0.22560955192462018,84.34220624285771,,,,,-0.0008832451952607012,0.00013927025765894663,4.378985935858367e-05,-0.002104006657406704,0.2276262594906262,-0.10002027628336219,-0.06942531397926421,2.816982968724427,-0.04893048400639477,0.005527805065269231,0.0004426015933101657,0.16426948502928845,34.908256029520544,-2.2231142976650062,1.2441369973201404,334.3291300858531,26.916754514657725,-3.020366022593464,-0.22489903507658937,392.2596539947427,-3.59796074004322,-4.4315464213372024,-4.353707898075612,187.34378815714462,-4.162413790149273,-0.17385790911790977,-0.546301086457408,25.69473327270996,,,,,3.343017979840811,0.18982188100712416,0.48426087317700506,1.4399187320357123,7.991501514862804,0.7972517249283442,1.4690360323966303,-57.9305239088896,-5.212935896198587,3.650258613653463,2.8226316671873946,-102.27861238286914,8.555953813876599,-3.4604368046798726,-2.338370865122201,103.7185312058824,0.56445301741158,-4.25768850562784,-3.807406808695191,161.64905486287813,-0.016310106891778114,0.0017931817032676156,0.00010273370009478144,0.10412625821260868,-0.017931117405295217,-0.0007674383757418496,-0.0023701475625438617,0.06027238427191171,-4.893031965667081,0.5379545623456821,0.030820166109506886,31.237877560132176,4.919266976016086,-0.5066621460271872,0.0,13.80108745708829,,,,,0.5803664031616387,-0.016080269031747196,0.039614699355616345,-1.6278865505340963
