,evspsbl_CO2_anom,evspsbl_G1_anom,evspsbl_G1x_anom,evspsbl_pic,hfdsn_CO2_anom,hfdsn_G1_anom,hfdsn_G1x_anom,hfdsn_pic,hfls_CO2_anom,hfls_G1_anom,hfls_G1x_anom,hfls_pic,hfss_CO2_anom,hfss_G1_anom,hfss_G1x_anom,hfss_pic,hurs_CO2_anom,hurs_G1_anom,hurs_G1x_anom,hurs_pic,lwsnl_CO2_anom,lwsnl_G1_anom,lwsnl_G1x_anom,lwsnl_pic,p-e_CO2_anom,p-e_G1_anom,p-e_G1x_anom,p-e_pic,pr_CO2_anom,pr_G1_anom,pr_G1x_anom,pr_pic,prsn_CO2_anom,prsn_G1_anom,prsn_G1x_anom,prsn_pic,rlds_CO2_anom,rlds_G1_anom,rlds_G1x_anom,rlds_pic,rlus_CO2_anom,rlus_G1_anom,rlus_G1x_anom,rlus_pic,rsds_CO2_anom,rsds_G1_anom,rsds_G1x_anom,rsds_pic,rsus_CO2_anom,rsus_G1_anom,rsus_G1x_anom,rsus_pic,sbl_CO2_anom,sbl_G1_anom,sbl_G1x_anom,sbl_pic,sfc_heat_CO2_anom,sfc_heat_G1_anom,sfc_heat_G1x_anom,sfc_heat_pic,sfc_lw_CO2_anom,sfc_lw_G1_anom,sfc_lw_G1x_anom,sfc_lw_pic,sfc_nonrad_CO2_anom,sfc_nonrad_G1_anom,sfc_nonrad_G1x_anom,sfc_nonrad_pic,sfc_rad_CO2_anom,sfc_rad_G1_anom,sfc_rad_G1x_anom,sfc_rad_pic,sfc_sw_CO2_anom,sfc_sw_G1_anom,sfc_sw_G1x_anom,sfc_sw_pic,snd_CO2_anom,snd_G1_anom,snd_G1x_anom,snd_pic,snm_CO2_anom,snm_G1_anom,snm_G1x_anom,snm_pic,snw_CO2_anom,snw_G1_anom,snw_G1x_anom,snw_pic,tas_CO2_anom,tas_G1_anom,tas_G1x_anom,tas_pic,ts_CO2_anom,ts_G1_anom,ts_G1x_anom,ts_pic,tsn_CO2_anom,tsn_G1_anom,tsn_G1x_anom,tsn_pic
BNU-ESM,,,,,,,,,6.215897245739221,1.0349003750328905,0.3420847661528299,41.84179084848855,0.7721198432756786,-1.5605678576191337,-1.8725005783200714,29.022768774803684,-0.635105226587612,,,75.69775149634899,-16.621270192737175,,,17.546022737907016,0.08308767642383397,-0.04163067974828061,-0.05830832422987697,1.307062857059767,0.28569398755775666,-0.018733272629533726,-0.059442032524536614,2.753115149329582,-0.043478577650950645,,,0.3412450069735059,38.13731407415031,6.668871680608163,2.4608343817134823,287.4787858703291,32.22338224277587,2.9745019098178886,-0.9367301064592652,348.56795201443197,-4.939336470710884,-7.4980964856802075,-7.840260150702306,156.50096392790078,-5.84025235025598,-3.4204862320901164,-3.096909171856172,32.48474959102879,,,,,-0.17316970604969661,0.14242682737690338,0.1846291698841238,-7.937511942873124,5.9139318313743985,3.6943697707901677,3.3975644881725984,-61.08916614410279,-6.988017023672953,0.5256677257954294,1.5304160791612702,-70.86455971517809,6.814847412690767,-0.3832406306943028,-1.3457866184648424,62.927047666986155,0.900915801152081,-4.077610243894483,-4.743350957371106,124.01621436553305,-1.9275091661117894,,,2.0724954810116842,0.03084002824153559,,,0.13530692441620526,-1280.810505109686,,,1336.3704996498452,6.88216469258118,0.9179150678975256,0.12036097968697934,4.66330112629798,,,,,1.6025574421997801,,,-3.372951249541742
CCSM4,-0.005688405211384806,-0.1745833785284827,-0.18590906296696397,1.5256014439513037,0.12669160599791773,-0.023644189441111685,-0.03372534073596878,3.6467128061252487,-0.17640498985176833,-5.054191882480978,-5.3812843590602455,44.220443810395636,5.564328181947161,4.130221463914012,4.03405376975147,19.04472931363522,-3.3486348773974584,-2.2393491946395017,-2.1649632058306167,76.43274569213813,0.039866292216432814,-0.019842332329750273,-0.023846246872524693,0.11987709071135166,0.2569076435962132,0.10908394816330635,0.099171252159856,1.081621213326496,0.2512192424074082,-0.06549942773264172,-0.08673780826778632,2.607222655736556,-0.024991435567959852,-0.0030124558097168186,-0.0015385991037847324,0.3498360839032039,27.555323646787258,3.4816274585746214,1.86730418452629,283.6371438820138,24.957495839936655,2.372236737918456,0.8577244198369272,349.50362533365933,0.20171344492311505,-3.311022294089213,-3.546577774009478,156.1950799663497,-2.2670678577023757,-1.281688965520658,-1.215611863484959,33.205227031597666,,,,,-0.3213138622959306,0.00402782583872785,0.02584444490161708,-6.141801621410213,2.5978278068506384,1.1093907206561795,1.0095797646893487,-65.86648145164556,-5.38792314616861,0.9239704437748557,1.3472306131273015,-63.265173132588295,5.06660933846257,-0.9199425845449696,-1.3213861362560664,57.12337149382539,2.468781237314758,-2.0293333615767324,-2.330965941366557,122.98985300148304,-0.033805141690307725,-0.007438857654527287,-0.005670799038336463,0.1297879237939396,0.021203842925067273,-0.002281002815073152,-0.0038558392161534005,0.12940316283128894,-9.12109456400481,-2.73620607016408,-2.308051040823077,31.549394798468292,5.121521384855409,0.5811293014522425,0.276661696800347,4.706258849175189,,,,,,,,
CESM-CAM5.1-FV,0.06186069473091527,-0.17810152093163634,-0.1696344917256143,1.4734489413508793,,,,,1.7650061034122757,-5.181627455134162,-4.9365165777347855,42.69234920799799,,3.5376220440435695,,20.877134975421498,,,,,,,,,0.2419798566860175,0.02343558490156461,0.03114688531150067,0.9422341120559431,0.2975361550574509,-0.16097032977214099,-0.1447920002485379,2.4219874469798266,,,,,,0.47285255250790215,,291.0955081170049,,-0.26326458870545366,,350.42119261066864,,-3.796587035681739,,147.74668244029243,,-1.3436982707679803,,32.17110368703044,,,,,,-0.07276655858202297,,-7.319589726835939,,0.7361171412132705,,-59.3256844936637,,1.6440054848153594,,-63.56948425151258,,-1.716772012647553,,56.24989453126871,,-2.4528887854442587,,115.57557877038671,,,,,,,,,,,,,6.290883759335005,0.06542025418021602,0.28508475916751763,4.582960083043254,,,,,,,,
CSIRO-Mk3L-1-2,0.08072488871912364,-0.012217973669695903,-0.01393489759840627,0.9921747739232916,,,,,2.3357897739675835,-0.3535294739203607,-0.4032089915289738,28.708762076223884,0.5096521232276388,-1.4554442828771101,-1.4917453064861022,35.80760283657352,,,,,,,,,0.07055342769920481,-0.028660502629609397,-0.030493271350787055,1.0645536804225593,0.15127830849505974,-0.04087848539834171,-0.044428178069949364,2.056728461461168,-0.013849930031204383,-0.0014534534272613309,-0.0012244545911380134,0.2721273977228235,27.380870267286184,1.9775171076010452,1.5082435798837537,288.0877271127827,24.55673296202025,0.40508284641583714,-0.04106809982732784,360.71458783829746,-1.1824437380319637,-4.522949933111192,-4.584658760157453,172.45480486909798,-1.9339784584458357,-1.1972425466503722,-1.1836328999966028,40.73137040556355,,,,,0.7302299665982872,0.05570001526360446,0.04323949291350182,-5.419790694054414,2.8241373052659213,1.5724342611851938,1.5493116797110957,-72.6268607255147,-2.845441814687618,1.8089737942994617,1.8949543346856856,-64.51636479106281,3.5756718579401934,-1.753273704586455,-1.8517147673635108,59.09657420838049,0.7515344590802613,-3.325707214256596,-3.401025679947935,131.72343450358204,-0.036689888896856926,-0.00382490858226725,-0.003217797184270288,0.16689177825890017,,,,,-3.6689890319207947,-0.38249093576672877,-0.32177979477192764,16.68917824194736,5.061637214888169,0.2241848775435642,0.1348231185174935,6.263670348975939,5.041814178352906,0.197621715222545,0.10813544654671059,6.886434187133487,,,,
CanESM2,-0.03898459148709188,-0.16098789716805095,-0.163131979390708,1.1065997985912848,,,,,-0.8424793891817366,-4.623616662487009,-4.690066248945918,32.32993286231145,3.32764777065033,1.4288776223555502,1.395508696020741,32.352315289337525,-1.8147727681838148,-1.6041326195233268,-1.6004308362347501,75.45356769262057,,,,,0.15740633126385462,0.009718903573167625,0.007123449405314175,0.8282302460920302,0.11842174259389315,-0.1512689861179377,-0.15600852242655683,1.9348300391461768,-0.03186580227287872,-0.005672159577576552,-0.0052118333320198,0.279366996683921,36.84632630989461,3.004200136880229,2.4094596853860253,283.2620256080269,35.03527621852294,2.5168797458021572,1.9454024780566783,350.3232535245752,-2.0282930341721794,-4.898652496116711,-4.949096102219357,166.40415525376824,-2.6055325532512867,-1.2229677991595622,-1.1986706500423736,38.81836710414203,,,,,-0.09687835339643591,0.00637638722123679,0.00819098275639707,-4.157688453289905,1.8110500913717118,0.4873203910781285,0.46405720732944644,-67.06122791654835,-2.4851684340791422,3.194738952767196,3.2945574649501523,-64.6822481165251,2.388290076821974,-3.188362564261354,-3.286366480818728,60.52455964357013,0.5772394036477522,-3.6756847921713955,-3.750425547035931,127.58578818901049,-0.023907050792791366,-0.003821695485839882,-0.0034687160890192748,0.07851313813166763,0.012388750753069083,-7.313255937048402e-05,-0.00029213730126575327,0.059083988507093,-6.914044472854345,-1.1133714026809685,-1.0114305582113339,21.937195201634356,6.757969518714014,0.5476129302538117,0.4384723206337835,6.155160058326039,,,,,-13.854522041631782,-2.570208958283814,-2.371898798228216,-143.38517194788793
GISS-E2-R,-0.13040765637322704,-0.2616684470060795,-0.24750069362814964,1.5116947785855899,,,,,-3.7733698254358643,-7.571425083267414,-7.161478518499123,43.74116918626227,-4.079592710446441,-2.871981309412643,-3.002325949451258,-28.346019870530128,-2.107587971570041,-1.6635798855062944,-1.7115043039927968,68.18383479818186,-7.895887872265991,1.8399791682087923,0.7891294629408989,32.310568276520826,0.07803738088495504,-0.005349480037634358,0.0036509569916951534,1.0027939211795964,-0.05237028750776185,-0.2670179279295808,-0.24384973872403926,2.5144887004285965,-0.007431269961853781,-0.016012393886943976,-0.015086182434994155,0.41193299462725314,27.279066012698536,1.2785218160730096,4.08491431221546,294.25725176410594,21.86708708903484,-0.807503014575218,1.6398995874109232,357.40845162276344,-7.5663468777185585,-8.246137138608134,-8.172763355633293,159.5320349770732,-2.5738967518724607,-1.5349407300992581,-1.647081397666696,31.54355699843537,,,,,8.272491009602142,5.8182345453977575,6.083136959465158,49.44212913162899,5.411978917449204,2.086024824433771,2.445014718590066,-63.15119985244298,7.8529625009997055,10.443406387390063,10.163804459466284,-15.395149320903467,0.41952841922721973,-4.625171764451039,-4.080667440476148,64.83727844789915,-4.992450046459481,-6.7111964920483445,-6.525682023920481,127.98847798601133,-0.02348048201262047,0.001951301454449536,-0.0007937013326370229,0.12430233295031691,0.022496601258151838,-0.0058691727978931185,-0.002807487055619784,0.1287320299288971,,,,,4.267368303976335,-0.14692285751578993,0.3295376926063538,6.456921761916634,4.250201512252602,-0.12405150831011724,0.3480874884855325,-267.370660739435,,,,
HadCM3,-0.03418556161499797,-0.13340050279379678,-0.13614022467567777,2.908460483316148,,,,,,,,,,,,,,,,,,,,,-0.04343266523218975,0.028843262075541887,0.03083908989366635,-0.37379549296184433,-0.0776255192431603,-0.10456139406896847,-0.10530520145111355,2.5346733563463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.32565994140991,-0.0378863957050406,-0.13076738107907993,14.873690150947649,,,,,,,,
HadGEM2-ES,-0.038943835619802636,-0.09248397990502655,-0.0949560464143151,1.3828103714132014,,,,,-1.1603660563455946,-2.6587789967994766,-2.727964026026278,40.27921886217785,5.205026362669862,2.50017578775595,2.3752868729399346,25.763491609028435,-4.23637358003738,-2.124183292360641,-2.026658809729554,73.81147998758807,,,,,0.1979490693752205,0.029079064836161184,0.021281964394659014,0.9478128080535063,0.15900523939149913,-0.06340491667035364,-0.07367408395531871,2.3306231779349753,-0.02848333394701469,-0.004678949403953525,-0.0035798484846575884,0.37385105932932616,38.30503219543294,3.125627872546602,1.501317209877584,283.60973894091785,36.484411855213466,2.0107691575034323,0.41904506516277706,350.87550563192275,-0.9625027954614325,-4.141673430882435,-4.288462748693576,164.15822782414895,-3.5012101556243884,-2.8879145481786352,-2.8595973377620254,35.22959144206256,,,,,0.31466742495334454,0.01970303261219719,0.006083876267480193,-4.379840967574515,1.8206203402194774,1.1148587150431695,1.0822721447148353,-67.26576669100491,-4.044660316363235,0.15860327786634798,0.35267722555039427,-66.04271049028596,4.359327749449349,-0.13890012988434108,-0.34659322896172995,61.66286948562919,2.5387073389725003,-1.2537588880310437,-1.4288654155263458,128.92863641465016,,,,,,,,,-8.537143832069884,-1.328366261689574,-0.995521107038666,27.774096682235406,7.554146764857928,0.8131975806390903,0.5019530940656391,4.007244383898272,,,,,,,,
IPSL-CM5A-LR,0.041898270206681465,-0.17437829503192992,-0.1790878296681444,1.2281041040624905,,,,,,,,,3.640311080741064,1.7970277203028289,1.7568892669259455,30.734108910676774,,,,,,,,,0.21670113308147898,-0.04573177222645741,-0.05144638516136579,0.8584483139322105,0.2585994022497524,-0.22011007577392583,-0.23053422350786712,2.0865524228150627,-0.049959588916342945,-0.009141923504559335,-0.008253097621763739,0.41747717376516197,36.087378089846254,3.2156143715661187,2.4998146287049394,267.7162941513801,31.260572772488217,1.5638018087026353,0.9171391835431564,345.23706536947697,-2.3476820173221142,-7.074011971807238,-7.176930263478226,175.7715220442371,-2.0583869454453136,-2.0371206087378937,-2.0366575232011,38.446864500851916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.272244294973568,0.3295813002142096,0.20017672429868183,3.9314405815254774,,,,,,,,
MIROC-ESM,0.14315371373799346,-0.08755725250051793,-0.06601393510045739,1.4419228426227382,-0.9182040030504921,-0.07374437230722375,-0.15259828269236175,2.024579830140491,4.1421791725593735,-2.5334853933105848,-1.9101255117079248,41.722304487919246,2.973404653500129,0.12196078951753009,0.3882227761572352,27.305541746703973,-1.719186819412144,-0.2794237704341498,-0.4138658944940232,73.82507948517174,,,,,0.08940086355953958,-0.018050531258464453,-0.008016940131936323,1.0176956286657546,0.23255458340183033,-0.10560779103950946,-0.07403088126307322,2.459618472875869,-0.066543376202919,-0.0033434593630908838,-0.00924493812821503,0.35999886952305915,43.09852976377499,0.1378266544888902,4.1494091028772,288.9540097305593,36.92150036781021,-2.0566859665679544,1.5830172238391356,352.9425049202503,-3.453156756758574,-5.895540207079421,-5.667475443879027,169.88474497714293,-5.091411360117284,-1.3669691761722476,-1.7147499575329093,41.54751641915685,,,,,0.6996997422685078,0.0774662384914917,0.1355691283860354,-4.67911275751148,6.177029395964865,2.1945126210568944,2.5663918790381146,-63.98849518969108,-7.115583880589284,2.411524526325138,1.5219026602246828,-69.02784622305558,7.815283579131204,-2.334058366838093,-1.3863336075489272,64.3487334707471,1.6382545581030001,-4.528571002652981,-3.9527254649561456,128.33722858783617,-0.03764866056240788,0.003819795745522131,-5.244375352581043e-05,0.08392144211356312,0.005701983705261884,-0.007161923029318229,-0.00596071777104136,0.08539179294312062,-11.294598121682897,1.1459387500679696,-0.015733097720197264,25.176432611821188,7.22606272487112,-0.3857025993605374,0.325068453391113,7.19644820135669,,,,,2.9298583490318704,-0.04398336048346074,0.2337078862316817,-4.619049681367349
